Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
10/24/2025 00:00,CAPITL,61757,39.38,0.81,0.00
10/24/2025 00:00,CENTRL,61754,38.42,-0.15,0.00
10/24/2025 00:00,DUNWOD,61760,40.85,2.28,0.00
10/24/2025 00:00,GENESE,61753,37.92,-0.66,0.00
10/24/2025 00:00,H Q,61844,38.81,0.23,0.00
10/24/2025 00:00,HUD VL,61758,40.50,1.93,0.00
10/24/2025 00:00,LONGIL,61762,40.35,1.78,-0.01
10/24/2025 00:00,MHK VL,61756,39.65,1.08,0.00
10/24/2025 00:00,MILLWD,61759,40.69,2.12,0.00
10/24/2025 00:00,N.Y.C.,61761,41.16,2.58,0.00
10/24/2025 00:00,NORTH,61755,39.23,0.66,0.00
10/24/2025 00:00,NPX,61845,39.38,0.81,0.00
10/24/2025 00:00,O H,61846,37.53,-1.04,0.00
10/24/2025 00:00,PJM,61847,39.19,0.62,0.00
10/24/2025 00:00,WEST,61752,37.95,-0.62,0.00
10/24/2025 01:00,CAPITL,61757,37.47,0.81,0.00
10/24/2025 01:00,CENTRL,61754,36.52,-0.15,0.00
10/24/2025 01:00,DUNWOD,61760,38.72,2.05,0.00
10/24/2025 01:00,GENESE,61753,36.01,-0.66,0.00
10/24/2025 01:00,H Q,61844,36.89,0.22,0.00
10/24/2025 01:00,HUD VL,61758,38.42,1.76,0.00
10/24/2025 01:00,LONGIL,61762,38.06,1.39,0.00
10/24/2025 01:00,MHK VL,61756,37.76,1.10,0.00
10/24/2025 01:00,MILLWD,61759,38.61,1.94,0.00
10/24/2025 01:00,N.Y.C.,61761,38.98,2.31,0.00
10/24/2025 01:00,NORTH,61755,37.29,0.62,0.00
10/24/2025 01:00,NPX,61845,37.47,0.81,0.00
10/24/2025 01:00,O H,61846,35.60,-1.06,0.00
10/24/2025 01:00,PJM,61847,37.18,0.51,0.00
10/24/2025 01:00,WEST,61752,36.04,-0.62,0.00
10/24/2025 02:00,CAPITL,61757,37.36,0.80,0.00
10/24/2025 02:00,CENTRL,61754,36.45,-0.11,0.00
10/24/2025 02:00,DUNWOD,61760,38.50,1.94,0.00
10/24/2025 02:00,GENESE,61753,35.94,-0.62,0.00
10/24/2025 02:00,H Q,61844,36.74,0.18,0.00
10/24/2025 02:00,HUD VL,61758,38.24,1.68,0.00
10/24/2025 02:00,LONGIL,61762,37.95,1.39,0.00
10/24/2025 02:00,MHK VL,61756,37.62,1.06,0.00
10/24/2025 02:00,MILLWD,61759,38.39,1.83,0.00
10/24/2025 02:00,N.Y.C.,61761,38.76,2.19,0.00
10/24/2025 02:00,NORTH,61755,37.14,0.58,0.00
10/24/2025 02:00,NPX,61845,37.33,0.77,0.00
10/24/2025 02:00,O H,61846,35.43,-1.13,0.00
10/24/2025 02:00,PJM,61847,37.00,0.44,0.00
10/24/2025 02:00,WEST,61752,35.83,-0.73,0.00
10/24/2025 03:00,CAPITL,61757,36.82,0.79,0.00
10/24/2025 03:00,CENTRL,61754,35.89,-0.14,0.00
10/24/2025 03:00,DUNWOD,61760,37.87,1.84,0.00
10/24/2025 03:00,GENESE,61753,35.45,-0.58,0.00
10/24/2025 03:00,H Q,61844,36.25,0.22,0.00
10/24/2025 03:00,HUD VL,61758,37.65,1.62,0.00
10/24/2025 03:00,LONGIL,61762,37.26,1.23,0.00
10/24/2025 03:00,MHK VL,61756,37.00,0.97,0.00
10/24/2025 03:00,MILLWD,61759,37.80,1.77,0.00
10/24/2025 03:00,N.Y.C.,61761,38.12,2.09,0.00
10/24/2025 03:00,NORTH,61755,36.71,0.68,0.00
10/24/2025 03:00,NPX,61845,36.75,0.72,0.00
10/24/2025 03:00,O H,61846,35.06,-0.97,0.00
10/24/2025 03:00,PJM,61847,36.47,0.43,0.00
10/24/2025 03:00,WEST,61752,35.42,-0.61,0.00
10/24/2025 04:00,CAPITL,61757,37.12,0.87,0.00
10/24/2025 04:00,CENTRL,61754,36.07,-0.18,0.00
10/24/2025 04:00,DUNWOD,61760,38.17,1.92,0.00
10/24/2025 04:00,GENESE,61753,35.53,-0.72,0.00
10/24/2025 04:00,H Q,61844,36.47,0.22,0.00
10/24/2025 04:00,HUD VL,61758,37.92,1.67,0.00
10/24/2025 04:00,LONGIL,61762,37.56,1.30,0.00
10/24/2025 04:00,MHK VL,61756,37.34,1.09,0.00
10/24/2025 04:00,MILLWD,61759,38.07,1.81,0.00
10/24/2025 04:00,N.Y.C.,61761,38.40,2.14,0.00
10/24/2025 04:00,NORTH,61755,36.83,0.58,0.00
10/24/2025 04:00,NPX,61845,37.09,0.83,0.00
10/24/2025 04:00,O H,61846,34.95,-1.30,0.00
10/24/2025 04:00,PJM,61847,36.58,0.33,0.00
10/24/2025 04:00,WEST,61752,35.31,-0.94,0.00
10/24/2025 05:00,CAPITL,61757,42.68,1.04,0.00
10/24/2025 05:00,CENTRL,61754,41.44,-0.21,0.00
10/24/2025 05:00,DUNWOD,61760,44.02,2.37,0.00
10/24/2025 05:00,GENESE,61753,40.69,-0.96,0.00
10/24/2025 05:00,H Q,61844,41.89,0.25,0.00
10/24/2025 05:00,HUD VL,61758,43.72,2.08,0.00
10/24/2025 05:00,LONGIL,61762,43.48,1.83,-0.01
10/24/2025 05:00,MHK VL,61756,42.85,1.21,0.00
10/24/2025 05:00,MILLWD,61759,43.85,2.21,0.00
10/24/2025 05:00,N.Y.C.,61761,44.31,2.67,0.00
10/24/2025 05:00,NORTH,61755,42.35,0.71,0.00
10/24/2025 05:00,NPX,61845,42.60,0.96,0.00
10/24/2025 05:00,O H,61846,39.93,-1.71,0.00
10/24/2025 05:00,PJM,61847,42.06,0.42,0.00
10/24/2025 05:00,WEST,61752,40.35,-1.29,0.00
10/24/2025 06:00,CAPITL,61757,64.10,1.74,0.00
10/24/2025 06:00,CENTRL,61754,62.39,-0.06,-0.09
10/24/2025 06:00,DUNWOD,61760,65.91,3.55,0.00
10/24/2025 06:00,GENESE,61753,60.99,-1.37,0.00
10/24/2025 06:00,H Q,61844,62.61,0.25,0.00
10/24/2025 06:00,HUD VL,61758,65.60,3.24,0.00
10/24/2025 06:00,LONGIL,61762,58.47,1.87,5.76
10/24/2025 06:00,MHK VL,61756,64.67,2.31,0.00
10/24/2025 06:00,MILLWD,61759,65.73,3.37,0.00
10/24/2025 06:00,N.Y.C.,61761,66.36,3.99,0.00
10/24/2025 06:00,NORTH,61755,63.17,0.81,0.00
10/24/2025 06:00,NPX,61845,63.48,1.12,0.00
10/24/2025 06:00,O H,61846,58.87,-3.49,0.00
10/24/2025 06:00,PJM,61847,62.92,0.56,0.00
10/24/2025 06:00,WEST,61752,59.93,-2.43,0.00
10/24/2025 07:00,CAPITL,61757,84.30,2.22,0.00
10/24/2025 07:00,CENTRL,61754,82.03,-0.33,-0.27
10/24/2025 07:00,DUNWOD,61760,87.50,5.42,0.00
10/24/2025 07:00,GENESE,61753,79.54,-2.55,0.00
10/24/2025 07:00,H Q,61844,82.41,0.33,0.00
10/24/2025 07:00,HUD VL,61758,86.84,4.76,0.00
10/24/2025 07:00,LONGIL,61762,71.95,3.29,13.42
10/24/2025 07:00,MHK VL,61756,85.28,3.20,0.00
10/24/2025 07:00,MILLWD,61759,87.09,5.01,0.00
10/24/2025 07:00,N.Y.C.,61761,88.00,5.91,-0.01
10/24/2025 07:00,NORTH,61755,82.90,0.82,0.00
10/24/2025 07:00,NPX,61845,83.56,1.48,0.00
10/24/2025 07:00,O H,61846,75.76,-6.32,0.00
10/24/2025 07:00,PJM,61847,82.66,0.58,0.00
10/24/2025 07:00,WEST,61752,77.32,-4.76,0.00
10/24/2025 08:00,CAPITL,61757,72.39,1.49,0.00
10/24/2025 08:00,CENTRL,61754,71.14,-0.07,-0.31
10/24/2025 08:00,DUNWOD,61760,75.44,4.54,0.00
10/24/2025 08:00,GENESE,61753,69.55,-1.35,0.00
10/24/2025 08:00,H Q,61844,71.19,0.28,0.00
10/24/2025 08:00,HUD VL,61758,74.73,3.83,0.00
10/24/2025 08:00,LONGIL,61762,68.80,2.62,4.73
