Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
10/18/2025 00:00,CAPITL,61757,38.75,1.05,0.00
10/18/2025 00:00,CENTRL,61754,37.43,-0.26,0.00
10/18/2025 00:00,DUNWOD,61760,39.73,2.03,0.00
10/18/2025 00:00,GENESE,61753,36.71,-0.98,0.00
10/18/2025 00:00,H Q,61844,37.81,0.11,0.00
10/18/2025 00:00,HUD VL,61758,39.50,1.81,0.00
10/18/2025 00:00,LONGIL,61762,40.48,2.79,0.00
10/18/2025 00:00,MHK VL,61756,38.86,1.17,0.00
10/18/2025 00:00,MILLWD,61759,39.50,1.81,0.00
10/18/2025 00:00,N.Y.C.,61761,39.99,2.30,0.00
10/18/2025 00:00,NORTH,61755,38.18,0.49,0.00
10/18/2025 00:00,NPX,61845,38.79,1.09,0.00
10/18/2025 00:00,O H,61846,35.92,-1.77,0.00
10/18/2025 00:00,PJM,61847,37.62,-0.08,0.00
10/18/2025 00:00,WEST,61752,36.37,-1.32,0.00
10/18/2025 01:00,CAPITL,61757,37.21,1.01,0.00
10/18/2025 01:00,CENTRL,61754,36.01,-0.18,0.00
10/18/2025 01:00,DUNWOD,61760,38.08,1.88,0.00
10/18/2025 01:00,GENESE,61753,35.43,-0.76,0.00
10/18/2025 01:00,H Q,61844,36.30,0.11,0.00
10/18/2025 01:00,HUD VL,61758,37.86,1.67,0.00
10/18/2025 01:00,LONGIL,61762,38.88,2.68,-0.01
10/18/2025 01:00,MHK VL,61756,37.32,1.12,0.00
10/18/2025 01:00,MILLWD,61759,37.86,1.67,0.00
10/18/2025 01:00,N.Y.C.,61761,38.40,2.21,0.00
10/18/2025 01:00,NORTH,61755,36.70,0.51,0.00
10/18/2025 01:00,NPX,61845,37.10,0.91,0.00
10/18/2025 01:00,O H,61846,34.78,-1.41,0.00
10/18/2025 01:00,PJM,61847,36.19,0.00,0.00
10/18/2025 01:00,WEST,61752,35.18,-1.01,0.00
10/18/2025 02:00,CAPITL,61757,34.13,1.00,0.13
10/18/2025 02:00,CENTRL,61754,33.03,-0.23,0.00
10/18/2025 02:00,DUNWOD,61760,35.20,1.73,-0.21
10/18/2025 02:00,GENESE,61753,32.47,-0.80,0.00
10/18/2025 02:00,H Q,61844,33.40,0.13,0.00
10/18/2025 02:00,HUD VL,61758,34.98,1.56,-0.15
10/18/2025 02:00,LONGIL,61762,35.91,2.43,-0.21
10/18/2025 02:00,MHK VL,61756,34.26,1.00,0.00
10/18/2025 02:00,MILLWD,61759,35.00,1.53,-0.20
10/18/2025 02:00,N.Y.C.,61761,35.43,1.96,-0.21
10/18/2025 02:00,NORTH,61755,33.77,0.50,0.00
10/18/2025 02:00,NPX,61845,33.00,0.90,1.16
10/18/2025 02:00,O H,61846,31.90,-1.37,0.00
10/18/2025 02:00,PJM,61847,33.33,-0.03,-0.10
10/18/2025 02:00,WEST,61752,32.23,-1.03,0.00
10/18/2025 03:00,CAPITL,61757,33.04,0.99,0.00
10/18/2025 03:00,CENTRL,61754,31.78,-0.26,0.00
10/18/2025 03:00,DUNWOD,61760,33.74,1.70,0.00
10/18/2025 03:00,GENESE,61753,31.24,-0.80,0.00
10/18/2025 03:00,H Q,61844,32.14,0.10,0.00
10/18/2025 03:00,HUD VL,61758,33.55,1.51,0.00
10/18/2025 03:00,LONGIL,61762,34.42,2.37,-0.01
10/18/2025 03:00,MHK VL,61756,33.00,0.96,0.00
10/18/2025 03:00,MILLWD,61759,33.55,1.51,0.00
