Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/06/2025 00:00,CAPITL,61757,34.43,1.51,0.00
05/06/2025 00:00,CENTRL,61754,33.08,0.17,0.00
05/06/2025 00:00,DUNWOD,61760,35.12,2.21,0.00
05/06/2025 00:00,GENESE,61753,32.69,-0.23,0.00
05/06/2025 00:00,H Q,61844,25.25,-0.63,7.04
05/06/2025 00:00,HUD VL,61758,34.79,1.88,0.00
05/06/2025 00:00,LONGIL,61762,36.09,3.16,-0.01
05/06/2025 00:00,MHK VL,61756,31.26,0.46,2.11
05/06/2025 00:00,MILLWD,61759,34.99,2.07,0.00
05/06/2025 00:00,N.Y.C.,61761,35.22,2.30,0.00
05/06/2025 00:00,NORTH,61755,7.10,-1.15,24.66
05/06/2025 00:00,NPX,61845,36.10,1.61,-1.57
05/06/2025 00:00,O H,61846,31.96,-0.96,0.00
05/06/2025 00:00,PJM,61847,33.54,0.62,0.00
05/06/2025 00:00,WEST,61752,32.55,-0.36,0.00
05/06/2025 01:00,CAPITL,61757,31.51,1.44,0.00
05/06/2025 01:00,CENTRL,61754,29.89,-0.18,0.00
05/06/2025 01:00,DUNWOD,61760,32.17,2.10,0.00
05/06/2025 01:00,GENESE,61753,29.08,-0.99,0.00
05/06/2025 01:00,H Q,61844,26.31,-0.48,3.28
05/06/2025 01:00,HUD VL,61758,31.87,1.80,0.00
05/06/2025 01:00,LONGIL,61762,32.84,2.76,0.00
05/06/2025 01:00,MHK VL,61756,28.54,0.45,1.98
05/06/2025 01:00,MILLWD,61759,32.05,1.98,0.00
05/06/2025 01:00,N.Y.C.,61761,32.27,2.19,0.00
05/06/2025 01:00,NORTH,61755,6.11,-0.90,23.06
05/06/2025 01:00,NPX,61845,36.00,1.53,-4.40
05/06/2025 01:00,O H,61846,28.30,-1.77,0.00
05/06/2025 01:00,PJM,61847,30.31,0.24,0.00
05/06/2025 01:00,WEST,61752,28.54,-1.53,0.00
05/06/2025 02:00,CAPITL,61757,29.85,1.39,-0.60
05/06/2025 02:00,CENTRL,61754,27.72,-0.22,-0.08
05/06/2025 02:00,DUNWOD,61760,30.34,2.01,-0.47
05/06/2025 02:00,GENESE,61753,26.97,-0.95,-0.06
05/06/2025 02:00,H Q,61844,24.35,-0.42,3.10
05/06/2025 02:00,HUD VL,61758,30.02,1.70,-0.46
05/06/2025 02:00,LONGIL,61762,30.95,2.62,-0.47
05/06/2025 02:00,MHK VL,61756,26.45,0.36,1.78
05/06/2025 02:00,MILLWD,61759,30.20,1.87,-0.47
05/06/2025 02:00,N.Y.C.,61761,30.39,2.06,-0.47
05/06/2025 02:00,NORTH,61755,5.20,-0.86,21.80
05/06/2025 02:00,NPX,61845,34.00,1.45,-4.69
05/06/2025 02:00,O H,61846,26.32,-1.62,-0.07
05/06/2025 02:00,PJM,61847,28.37,0.22,-0.29
05/06/2025 02:00,WEST,61752,26.52,-1.42,-0.08
05/06/2025 03:00,CAPITL,61757,30.00,1.43,0.00
05/06/2025 03:00,CENTRL,61754,28.37,-0.20,0.00
05/06/2025 03:00,DUNWOD,61760,30.57,2.00,0.00
05/06/2025 03:00,GENESE,61753,27.60,-0.97,0.00
05/06/2025 03:00,H Q,61844,24.99,-0.43,3.15
05/06/2025 03:00,HUD VL,61758,30.29,1.71,0.00
05/06/2025 03:00,LONGIL,61762,31.20,2.63,0.00
05/06/2025 03:00,MHK VL,61756,27.09,0.43,1.91
05/06/2025 03:00,MILLWD,61759,30.46,1.89,0.00
05/06/2025 03:00,N.Y.C.,61761,30.66,2.08,0.00
05/06/2025 03:00,NORTH,61755,5.50,-0.89,22.18
05/06/2025 03:00,NPX,61845,31.75,1.48,-1.69
05/06/2025 03:00,O H,61846,26.91,-1.66,0.00
05/06/2025 03:00,PJM,61847,28.83,0.26,0.00
05/06/2025 03:00,WEST,61752,27.20,-1.37,0.00
05/06/2025 04:00,CAPITL,61757,30.27,1.39,0.00
05/06/2025 04:00,CENTRL,61754,28.77,-0.12,0.00
05/06/2025 04:00,DUNWOD,61760,30.85,1.97,0.00
05/06/2025 04:00,GENESE,61753,27.90,-0.98,0.00
05/06/2025 04:00,H Q,61844,25.33,-0.43,3.13
05/06/2025 04:00,HUD VL,61758,30.56,1.67,0.00
05/06/2025 04:00,LONGIL,61762,31.57,2.69,0.00
05/06/2025 04:00,MHK VL,61756,27.51,0.52,1.89
05/06/2025 04:00,MILLWD,61759,30.73,1.85,0.00
05/06/2025 04:00,N.Y.C.,61761,30.93,2.05,0.00
05/06/2025 04:00,NORTH,61755,6.02,-0.87,22.00
05/06/2025 04:00,NPX,61845,34.30,1.47,-3.94
05/06/2025 04:00,O H,61846,27.24,-1.65,0.00
05/06/2025 04:00,PJM,61847,29.14,0.26,0.00
05/06/2025 04:00,WEST,61752,27.53,-1.36,0.00
05/06/2025 05:00,CAPITL,61757,33.81,1.58,0.00
05/06/2025 05:00,CENTRL,61754,32.20,-0.03,0.00
05/06/2025 05:00,DUNWOD,61760,34.32,2.09,0.00
05/06/2025 05:00,GENESE,61753,31.26,-0.97,0.00
05/06/2025 05:00,H Q,61844,29.14,-0.48,2.61
05/06/2025 05:00,HUD VL,61758,34.03,1.80,0.00
05/06/2025 05:00,LONGIL,61762,35.16,2.93,0.00
05/06/2025 05:00,MHK VL,61756,31.26,0.61,1.58
05/06/2025 05:00,MILLWD,61759,34.23,2.00,0.00
05/06/2025 05:00,N.Y.C.,61761,34.42,2.19,0.00
05/06/2025 05:00,NORTH,61755,12.93,-0.94,18.36
05/06/2025 05:00,NPX,61845,39.80,1.61,-5.96
05/06/2025 05:00,O H,61846,30.46,-1.77,0.00
05/06/2025 05:00,PJM,61847,32.52,0.29,0.00
05/06/2025 05:00,WEST,61752,30.81,-1.42,0.00
05/06/2025 06:00,CAPITL,61757,43.33,1.91,0.00
05/06/2025 06:00,CENTRL,61754,41.50,0.08,0.00
05/06/2025 06:00,DUNWOD,61760,44.36,2.94,0.00
05/06/2025 06:00,GENESE,61753,40.18,-1.24,0.00
05/06/2025 06:00,H Q,61844,35.10,-0.62,5.70
05/06/2025 06:00,HUD VL,61758,43.91,2.49,0.00
05/06/2025 06:00,LONGIL,61762,45.31,3.89,0.00
05/06/2025 06:00,MHK VL,61756,40.33,0.91,2.00
05/06/2025 06:00,MILLWD,61759,44.15,2.73,0.00
05/06/2025 06:00,N.Y.C.,61761,44.49,3.07,0.00
05/06/2025 06:00,NORTH,61755,17.00,-1.12,23.30
05/06/2025 06:00,NPX,61845,43.70,2.03,-0.25
05/06/2025 06:00,O H,61846,38.94,-2.48,0.00
05/06/2025 06:00,PJM,61847,41.88,0.46,0.00
05/06/2025 06:00,WEST,61752,39.60,-1.82,0.00
05/06/2025 07:00,CAPITL,61757,46.41,2.08,0.00
05/06/2025 07:00,CENTRL,61754,44.33,0.00,0.00
05/06/2025 07:00,DUNWOD,61760,47.79,3.46,0.00
05/06/2025 07:00,GENESE,61753,42.65,-1.68,0.00
05/06/2025 07:00,H Q,61844,37.31,-0.71,6.31
05/06/2025 07:00,HUD VL,61758,47.21,2.88,0.00
05/06/2025 07:00,LONGIL,61762,48.32,3.99,0.00
05/06/2025 07:00,MHK VL,61756,43.46,1.02,1.89
05/06/2025 07:00,MILLWD,61759,47.52,3.19,0.00
05/06/2025 07:00,N.Y.C.,61761,48.05,3.72,0.00
05/06/2025 07:00,NORTH,61755,21.00,-1.24,22.09
05/06/2025 07:00,NPX,61845,50.39,2.30,-3.76
05/06/2025 07:00,O H,61846,41.00,-3.33,0.00
05/06/2025 07:00,PJM,61847,44.77,0.44,0.00
05/06/2025 07:00,WEST,61752,41.89,-2.44,0.00
05/06/2025 08:00,CAPITL,61757,46.86,1.97,0.00
05/06/2025 08:00,CENTRL,61754,44.84,-0.04,0.00
05/06/2025 08:00,DUNWOD,61760,48.52,3.63,0.00
05/06/2025 08:00,GENESE,61753,43.18,-1.71,0.00
05/06/2025 08:00,H Q,61844,40.59,-0.72,3.58
05/06/2025 08:00,HUD VL,61758,47.94,3.05,0.00
05/06/2025 08:00,LONGIL,61762,49.15,4.27,0.00
05/06/2025 08:00,MHK VL,61756,45.29,1.26,0.85
05/06/2025 08:00,MILLWD,61759,48.26,3.37,0.00
05/06/2025 08:00,N.Y.C.,61761,48.75,3.86,0.00
05/06/2025 08:00,NORTH,61755,31.03,-1.35,12.51
05/06/2025 08:00,NPX,61845,49.10,2.29,-1.92
05/06/2025 08:00,O H,61846,41.47,-3.41,0.00
05/06/2025 08:00,PJM,61847,45.34,0.45,0.00
05/06/2025 08:00,WEST,61752,42.33,-2.56,0.00
05/06/2025 09:00,CAPITL,61757,43.52,1.79,0.00
05/06/2025 09:00,CENTRL,61754,41.65,-0.08,0.00
05/06/2025 09:00,DUNWOD,61760,45.15,3.42,0.00
05/06/2025 09:00,GENESE,61753,40.19,-1.54,0.00
05/06/2025 09:00,H Q,61844,41.06,-0.67,0.00
05/06/2025 09:00,HUD VL,61758,44.53,2.80,0.00
05/06/2025 09:00,LONGIL,61762,45.92,4.09,-0.10
05/06/2025 09:00,MHK VL,61756,42.81,1.08,0.00
05/06/2025 09:00,MILLWD,61759,44.86,3.13,0.00
05/06/2025 09:00,N.Y.C.,61761,45.49,3.59,-0.17
05/06/2025 09:00,NORTH,61755,40.52,-1.21,0.00
05/06/2025 09:00,NPX,61845,50.10,2.13,-6.24
05/06/2025 09:00,O H,61846,38.60,-3.13,0.00
05/06/2025 09:00,PJM,61847,42.15,0.42,0.00
05/06/2025 09:00,WEST,61752,39.31,-2.42,0.00
05/06/2025 10:00,CAPITL,61757,45.00,1.77,0.00
05/06/2025 10:00,CENTRL,61754,43.10,-0.13,0.00
05/06/2025 10:00,DUNWOD,61760,46.60,3.37,0.00
05/06/2025 10:00,GENESE,61753,41.76,-1.47,0.00
05/06/2025 10:00,H Q,61844,42.62,-0.61,0.00
05/06/2025 10:00,HUD VL,61758,46.00,2.77,0.00
05/06/2025 10:00,LONGIL,61762,52.75,3.76,-5.76
05/06/2025 10:00,MHK VL,61756,44.26,1.04,0.00
05/06/2025 10:00,MILLWD,61759,46.34,3.11,0.00
05/06/2025 10:00,N.Y.C.,61761,46.81,3.59,0.00
05/06/2025 10:00,NORTH,61755,42.10,-1.12,0.00
05/06/2025 10:00,NPX,61845,55.42,2.12,-10.08
05/06/2025 10:00,O H,61846,40.24,-2.98,0.00
05/06/2025 10:00,PJM,61847,43.70,0.48,0.00
05/06/2025 10:00,WEST,61752,40.98,-2.25,0.00
05/06/2025 11:00,CAPITL,61757,42.78,1.69,0.00
05/06/2025 11:00,CENTRL,61754,40.97,-0.12,0.00
05/06/2025 11:00,DUNWOD,61760,44.34,3.25,0.00
05/06/2025 11:00,GENESE,61753,39.70,-1.40,0.00
05/06/2025 11:00,H Q,61844,40.52,-0.58,0.00
05/06/2025 11:00,HUD VL,61758,43.73,2.63,0.00
05/06/2025 11:00,LONGIL,61762,58.00,3.53,-13.37
05/06/2025 11:00,MHK VL,61756,42.04,0.95,0.00
05/06/2025 11:00,MILLWD,61759,44.06,2.96,0.00
05/06/2025 11:00,N.Y.C.,61761,45.50,3.45,-0.95
05/06/2025 11:00,NORTH,61755,40.03,-1.07,0.00
05/06/2025 11:00,NPX,61845,47.10,2.01,-3.99
05/06/2025 11:00,O H,61846,38.30,-2.80,0.00
05/06/2025 11:00,PJM,61847,41.59,0.49,0.00
05/06/2025 11:00,WEST,61752,39.04,-2.05,0.00
05/06/2025 12:00,CAPITL,61757,42.07,1.58,0.00
05/06/2025 12:00,CENTRL,61754,40.41,-0.08,0.00
05/06/2025 12:00,DUNWOD,61760,43.69,3.20,0.00
05/06/2025 12:00,GENESE,61753,39.40,-1.09,0.00
05/06/2025 12:00,H Q,61844,39.92,-0.57,0.00
05/06/2025 12:00,HUD VL,61758,43.00,2.51,0.00
05/06/2025 12:00,LONGIL,61762,57.79,3.44,-13.86
05/06/2025 12:00,MHK VL,61756,41.30,0.81,0.00
05/06/2025 12:00,MILLWD,61759,43.41,2.92,0.00
05/06/2025 12:00,N.Y.C.,61761,44.32,3.36,-0.47
05/06/2025 12:00,NORTH,61755,39.40,-1.09,0.00
05/06/2025 12:00,NPX,61845,47.40,1.94,-4.97
05/06/2025 12:00,O H,61846,38.18,-2.31,0.00
05/06/2025 12:00,PJM,61847,41.06,0.57,0.00
05/06/2025 12:00,WEST,61752,38.83,-1.66,0.00
05/06/2025 13:00,CAPITL,61757,41.54,1.60,0.00
05/06/2025 13:00,CENTRL,61754,39.70,-0.24,0.00
05/06/2025 13:00,DUNWOD,61760,43.18,3.23,0.00
05/06/2025 13:00,GENESE,61753,38.46,-1.48,0.00
05/06/2025 13:00,H Q,61844,39.42,-0.52,0.00
05/06/2025 13:00,HUD VL,61758,42.46,2.52,0.00
05/06/2025 13:00,LONGIL,61762,52.40,3.47,-8.99
05/06/2025 13:00,MHK VL,61756,40.74,0.80,0.00
05/06/2025 13:00,MILLWD,61759,42.90,2.96,0.00
05/06/2025 13:00,N.Y.C.,61761,43.99,3.36,-0.69
05/06/2025 13:00,NORTH,61755,38.98,-0.96,0.00
05/06/2025 13:00,NPX,61845,46.10,1.96,-4.20
05/06/2025 13:00,O H,61846,37.11,-2.83,0.00
05/06/2025 13:00,PJM,61847,40.30,0.36,0.00
