Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
04/30/2025 00:00,CAPITL,61757,32.55,0.96,-12.07
04/30/2025 00:00,CENTRL,61754,21.10,-0.12,-1.70
04/30/2025 00:00,DUNWOD,61760,30.53,1.37,-9.64
04/30/2025 00:00,GENESE,61753,20.30,-0.59,-1.36
04/30/2025 00:00,H Q,61844,19.23,-0.29,0.00
04/30/2025 00:00,HUD VL,61758,30.09,1.09,-9.48
04/30/2025 00:00,LONGIL,61762,31.04,1.86,-9.66
04/30/2025 00:00,MHK VL,61756,22.34,0.29,-2.52
04/30/2025 00:00,MILLWD,61759,30.46,1.25,-9.68
04/30/2025 00:00,N.Y.C.,61761,30.76,1.58,-9.65
04/30/2025 00:00,NORTH,61755,15.63,-0.59,3.31
04/30/2025 00:00,NPX,61845,31.43,1.00,-10.91
04/30/2025 00:00,O H,61846,20.00,-1.11,-1.59
04/30/2025 00:00,PJM,61847,25.67,0.18,-5.98
04/30/2025 00:00,WEST,61752,20.23,-0.99,-1.70
04/30/2025 01:00,CAPITL,61757,29.98,0.89,-10.88
04/30/2025 01:00,CENTRL,61754,19.63,-0.11,-1.53
04/30/2025 01:00,DUNWOD,61760,28.14,1.24,-8.69
04/30/2025 01:00,GENESE,61753,18.91,-0.53,-1.23
04/30/2025 01:00,H Q,61844,17.94,-0.27,0.00
04/30/2025 01:00,HUD VL,61758,27.75,1.00,-8.54
04/30/2025 01:00,LONGIL,61762,28.52,1.60,-8.70
04/30/2025 01:00,MHK VL,61756,20.78,0.27,-2.30
04/30/2025 01:00,MILLWD,61759,28.09,1.15,-8.73
04/30/2025 01:00,N.Y.C.,61761,28.35,1.44,-8.70
04/30/2025 01:00,NORTH,61755,14.53,-0.53,3.15
04/30/2025 01:00,NPX,61845,28.97,0.93,-9.84
04/30/2025 01:00,O H,61846,18.66,-0.98,-1.43
04/30/2025 01:00,PJM,61847,23.72,0.13,-5.39
04/30/2025 01:00,WEST,61752,18.85,-0.89,-1.53
04/30/2025 02:00,CAPITL,61757,28.04,0.92,-8.62
04/30/2025 02:00,CENTRL,61754,19.60,-0.11,-1.21
04/30/2025 02:00,DUNWOD,61760,26.62,1.24,-6.89
04/30/2025 02:00,GENESE,61753,18.95,-0.52,-0.97
04/30/2025 02:00,H Q,61844,18.22,-0.28,0.00
04/30/2025 02:00,HUD VL,61758,26.26,1.00,-6.77
04/30/2025 02:00,LONGIL,61762,27.00,1.61,-6.89
04/30/2025 02:00,MHK VL,61756,20.70,0.28,-1.93
04/30/2025 02:00,MILLWD,61759,26.56,1.15,-6.92
04/30/2025 02:00,N.Y.C.,61761,26.83,1.44,-6.90
04/30/2025 02:00,NORTH,61755,14.76,-0.55,3.18
04/30/2025 02:00,NPX,61845,27.23,0.94,-7.79
04/30/2025 02:00,O H,61846,18.63,-1.00,-1.14
04/30/2025 02:00,PJM,61847,22.89,0.13,-4.27
04/30/2025 02:00,WEST,61752,18.86,-0.85,-1.21
04/30/2025 03:00,CAPITL,61757,26.71,0.95,-6.77
04/30/2025 03:00,CENTRL,61754,19.81,-0.13,-0.95
04/30/2025 03:00,DUNWOD,61760,25.65,1.25,-5.41
04/30/2025 03:00,GENESE,61753,19.16,-0.59,-0.76
04/30/2025 03:00,H Q,61844,18.72,-0.27,0.00
04/30/2025 03:00,HUD VL,61758,25.33,1.02,-5.32
04/30/2025 03:00,LONGIL,61762,26.02,1.61,-5.42
04/30/2025 03:00,MHK VL,61756,20.92,0.30,-1.63
04/30/2025 03:00,MILLWD,61759,25.58,1.16,-5.43
04/30/2025 03:00,N.Y.C.,61761,25.87,1.46,-5.42
04/30/2025 03:00,NORTH,61755,15.21,-0.53,3.25
