Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
01/27/2025 00:00,CAPITL,61757,108.01,4.95,-21.84
01/27/2025 00:00,CENTRL,61754,82.81,-1.30,-2.90
01/27/2025 00:00,DUNWOD,61760,104.19,5.60,-17.37
01/27/2025 00:00,GENESE,61753,79.34,-4.06,-2.19
01/27/2025 00:00,H Q,61844,80.24,-0.97,0.00
01/27/2025 00:00,HUD VL,61758,103.22,4.87,-17.13
01/27/2025 00:00,LONGIL,61762,105.58,6.90,-17.46
01/27/2025 00:00,MHK VL,61756,87.97,2.76,-3.99
01/27/2025 00:00,MILLWD,61759,104.21,5.53,-17.47
01/27/2025 00:00,N.Y.C.,61761,108.20,5.85,-21.13
01/27/2025 00:00,NORTH,61755,80.65,-0.56,0.00
01/27/2025 00:00,NPX,61845,117.00,5.04,-30.75
01/27/2025 00:00,O H,61846,76.04,-7.80,-2.63
01/27/2025 00:00,PJM,61847,44.51,-0.81,35.89
01/27/2025 00:00,WEST,61752,76.58,-7.47,-2.83
01/27/2025 01:00,CAPITL,61757,112.74,4.39,-36.42
01/27/2025 01:00,CENTRL,61754,72.32,-1.44,-1.83
01/27/2025 01:00,DUNWOD,61760,86.93,4.89,-10.10
01/27/2025 01:00,GENESE,61753,69.21,-4.03,-1.30
01/27/2025 01:00,H Q,61844,71.21,-0.72,0.00
01/27/2025 01:00,HUD VL,61758,86.70,4.24,-10.53
01/27/2025 01:00,LONGIL,61762,104.58,6.25,-26.39
01/27/2025 01:00,MHK VL,61756,78.22,2.45,-3.84
01/27/2025 01:00,MILLWD,61759,86.92,4.82,-10.17
01/27/2025 01:00,N.Y.C.,61761,87.86,5.11,-10.83
01/27/2025 01:00,NORTH,61755,71.64,-0.29,0.00
01/27/2025 01:00,NPX,61845,115.10,4.39,-38.78
01/27/2025 01:00,O H,61846,66.19,-7.34,-1.60
01/27/2025 01:00,PJM,61847,42.50,-0.86,28.57
01/27/2025 01:00,WEST,61752,66.70,-6.98,-1.74
01/27/2025 02:00,CAPITL,61757,110.67,4.30,-34.67
01/27/2025 02:00,CENTRL,61754,71.85,-1.58,-1.72
01/27/2025 02:00,DUNWOD,61760,85.94,4.73,-9.51
01/27/2025 02:00,GENESE,61753,68.41,-4.51,-1.23
01/27/2025 02:00,H Q,61844,71.20,-0.50,0.00
01/27/2025 02:00,HUD VL,61758,85.78,4.16,-9.92
01/27/2025 02:00,LONGIL,61762,101.96,6.09,-24.17
01/27/2025 02:00,MHK VL,61756,77.70,2.36,-3.64
01/27/2025 02:00,MILLWD,61759,86.01,4.73,-9.58
01/27/2025 02:00,N.Y.C.,61761,86.85,4.94,-10.21
01/27/2025 02:00,NORTH,61755,71.56,-0.14,0.00
01/27/2025 02:00,NPX,61845,110.54,4.30,-34.54
01/27/2025 02:00,O H,61846,65.61,-7.60,-1.51
01/27/2025 02:00,PJM,61847,42.96,-0.79,27.95
01/27/2025 02:00,WEST,61752,66.46,-6.88,-1.64
01/27/2025 03:00,CAPITL,61757,110.70,4.38,-34.55
01/27/2025 03:00,CENTRL,61754,72.06,-1.43,-1.72
01/27/2025 03:00,DUNWOD,61760,86.07,4.81,-9.48
01/27/2025 03:00,GENESE,61753,68.62,-4.38,-1.22
01/27/2025 03:00,H Q,61844,71.20,-0.58,0.00
01/27/2025 03:00,HUD VL,61758,85.83,4.16,-9.89
01/27/2025 03:00,LONGIL,61762,101.97,6.17,-24.02
01/27/2025 03:00,MHK VL,61756,77.85,2.44,-3.63
01/27/2025 03:00,MILLWD,61759,86.06,4.74,-9.55
01/27/2025 03:00,N.Y.C.,61761,86.91,4.95,-10.18
01/27/2025 03:00,NORTH,61755,71.49,-0.29,0.00
01/27/2025 03:00,NPX,61845,111.85,4.31,-35.77
01/27/2025 03:00,O H,61846,65.96,-7.32,-1.50
01/27/2025 03:00,PJM,61847,41.58,-0.65,29.55
01/27/2025 03:00,WEST,61752,66.88,-6.53,-1.64
01/27/2025 04:00,CAPITL,61757,121.42,4.47,-44.95
01/27/2025 04:00,CENTRL,61754,73.08,-1.15,-2.24
01/27/2025 04:00,DUNWOD,61760,89.23,4.90,-12.33
01/27/2025 04:00,GENESE,61753,69.63,-3.96,-1.59
01/27/2025 04:00,H Q,61844,71.21,-0.79,0.00
01/27/2025 04:00,HUD VL,61758,89.11,4.25,-12.87
01/27/2025 04:00,LONGIL,61762,100.44,6.26,-22.18
01/27/2025 04:00,MHK VL,61756,79.24,2.52,-4.72
01/27/2025 04:00,MILLWD,61759,89.25,4.82,-12.42
01/27/2025 04:00,N.Y.C.,61761,90.00,5.11,-12.89
01/27/2025 04:00,NORTH,61755,71.42,-0.58,0.00
01/27/2025 04:00,NPX,61845,117.44,4.39,-41.05
01/27/2025 04:00,O H,61846,67.04,-6.91,-1.96
01/27/2025 04:00,PJM,61847,42.13,-0.50,29.37
01/27/2025 04:00,WEST,61752,68.01,-6.12,-2.13
01/27/2025 05:00,CAPITL,61757,156.00,4.47,-79.38
01/27/2025 05:00,CENTRL,61754,73.98,-1.16,-2.98
01/27/2025 05:00,DUNWOD,61760,96.05,4.97,-18.93
01/27/2025 05:00,GENESE,61753,70.74,-3.53,-2.13
01/27/2025 05:00,H Q,61844,71.21,-0.94,0.00
01/27/2025 05:00,HUD VL,61758,96.54,4.40,-19.99
01/27/2025 05:00,LONGIL,61762,107.97,6.27,-29.54
01/27/2025 05:00,MHK VL,61756,82.59,2.74,-7.69
01/27/2025 05:00,MILLWD,61759,96.13,4.91,-19.07
01/27/2025 05:00,N.Y.C.,61761,96.45,5.12,-19.18
01/27/2025 05:00,NORTH,61755,71.21,-0.94,0.00
01/27/2025 05:00,NPX,61845,129.93,4.47,-53.31
01/27/2025 05:00,O H,61846,67.84,-6.93,-2.61
01/27/2025 05:00,PJM,61847,45.67,-0.79,25.69
01/27/2025 05:00,WEST,61752,68.29,-6.71,-2.84
