Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
07/10/2025 00:00,CAPITL,61757,49.54,2.09,0.00
07/10/2025 00:00,CENTRL,61754,47.88,0.43,0.00
07/10/2025 00:00,DUNWOD,61760,50.73,3.27,0.00
07/10/2025 00:00,GENESE,61753,47.60,0.14,0.00
07/10/2025 00:00,H Q,61844,46.89,-0.57,0.00
07/10/2025 00:00,HUD VL,61758,50.21,2.75,0.00
07/10/2025 00:00,LONGIL,61762,55.03,4.03,-3.54
07/10/2025 00:00,MHK VL,61756,49.30,1.85,0.00
07/10/2025 00:00,MILLWD,61759,50.45,2.99,0.00
07/10/2025 00:00,N.Y.C.,61761,51.26,3.80,0.00
07/10/2025 00:00,NORTH,61755,47.27,-0.19,0.00
07/10/2025 00:00,NPX,61845,49.16,1.71,0.00
07/10/2025 00:00,O H,61846,46.41,-1.04,0.00
07/10/2025 00:00,PJM,61847,48.45,1.00,0.00
07/10/2025 00:00,WEST,61752,47.27,-0.19,0.00
07/10/2025 01:00,CAPITL,61757,47.01,2.03,0.00
07/10/2025 01:00,CENTRL,61754,44.99,0.00,0.00
07/10/2025 01:00,DUNWOD,61760,48.31,3.33,0.00
07/10/2025 01:00,GENESE,61753,44.45,-0.54,0.00
07/10/2025 01:00,H Q,61844,44.58,-0.41,0.00
07/10/2025 01:00,HUD VL,61758,47.68,2.70,0.00
07/10/2025 01:00,LONGIL,61762,49.48,4.45,-0.04
07/10/2025 01:00,MHK VL,61756,46.60,1.62,0.00
07/10/2025 01:00,MILLWD,61759,47.95,2.97,0.00
07/10/2025 01:00,N.Y.C.,61761,48.81,3.82,0.00
07/10/2025 01:00,NORTH,61755,44.99,0.00,0.00
07/10/2025 01:00,NPX,61845,46.83,1.85,0.00
07/10/2025 01:00,O H,61846,43.23,-1.76,0.00
07/10/2025 01:00,PJM,61847,45.66,0.68,0.00
07/10/2025 01:00,WEST,61752,44.00,-0.99,0.00
07/10/2025 02:00,CAPITL,61757,41.73,1.61,0.00
07/10/2025 02:00,CENTRL,61754,40.40,0.28,0.00
07/10/2025 02:00,DUNWOD,61760,42.77,2.65,0.00
07/10/2025 02:00,GENESE,61753,40.20,0.08,0.00
07/10/2025 02:00,H Q,61844,39.76,-0.36,0.00
07/10/2025 02:00,HUD VL,61758,42.33,2.21,0.00
07/10/2025 02:00,LONGIL,61762,46.88,3.89,-2.87
07/10/2025 02:00,MHK VL,61756,41.56,1.44,0.00
07/10/2025 02:00,MILLWD,61759,42.53,2.41,0.00
07/10/2025 02:00,N.Y.C.,61761,43.21,3.09,0.00
07/10/2025 02:00,NORTH,61755,40.12,0.00,0.00
07/10/2025 02:00,NPX,61845,41.49,1.36,0.00
07/10/2025 02:00,O H,61846,39.40,-0.72,0.00
07/10/2025 02:00,PJM,61847,40.88,0.76,0.00
07/10/2025 02:00,WEST,61752,40.00,-0.12,0.00
07/10/2025 03:00,CAPITL,61757,39.77,1.53,0.00
07/10/2025 03:00,CENTRL,61754,38.35,0.12,0.00
07/10/2025 03:00,DUNWOD,61760,40.72,2.48,0.00
07/10/2025 03:00,GENESE,61753,37.97,-0.27,0.00
07/10/2025 03:00,H Q,61844,37.89,-0.34,0.00
07/10/2025 03:00,HUD VL,61758,40.26,2.03,0.00
07/10/2025 03:00,LONGIL,61762,47.15,3.67,-5.24
07/10/2025 03:00,MHK VL,61756,39.61,1.37,0.00
07/10/2025 03:00,MILLWD,61759,40.49,2.26,0.00
07/10/2025 03:00,N.Y.C.,61761,41.14,2.90,0.00
07/10/2025 03:00,NORTH,61755,38.27,0.04,0.00
07/10/2025 03:00,NPX,61845,39.61,1.37,0.00
07/10/2025 03:00,O H,61846,37.09,-1.15,0.00
07/10/2025 03:00,PJM,61847,38.77,0.54,0.00
07/10/2025 03:00,WEST,61752,37.74,-0.50,0.00
07/10/2025 04:00,CAPITL,61757,39.79,1.53,0.00
07/10/2025 04:00,CENTRL,61754,38.49,0.23,0.00
07/10/2025 04:00,DUNWOD,61760,40.75,2.49,0.00
07/10/2025 04:00,GENESE,61753,38.22,-0.04,0.00
07/10/2025 04:00,H Q,61844,37.92,-0.35,0.00
07/10/2025 04:00,HUD VL,61758,40.29,2.03,0.00
07/10/2025 04:00,LONGIL,61762,46.98,3.67,-5.05
07/10/2025 04:00,MHK VL,61756,39.64,1.38,0.00
07/10/2025 04:00,MILLWD,61759,40.48,2.22,0.00
07/10/2025 04:00,N.Y.C.,61761,41.14,2.87,0.00
07/10/2025 04:00,NORTH,61755,38.30,0.04,0.00
07/10/2025 04:00,NPX,61845,39.60,1.34,0.00
07/10/2025 04:00,O H,61846,37.46,-0.81,0.00
07/10/2025 04:00,PJM,61847,38.95,0.69,0.00
07/10/2025 04:00,WEST,61752,38.07,-0.19,0.00
07/10/2025 05:00,CAPITL,61757,41.02,1.62,0.00
07/10/2025 05:00,CENTRL,61754,39.64,0.24,0.00
07/10/2025 05:00,DUNWOD,61760,42.00,2.60,0.00
07/10/2025 05:00,GENESE,61753,39.36,-0.04,0.00
07/10/2025 05:00,H Q,61844,39.04,-0.36,0.00
07/10/2025 05:00,HUD VL,61758,41.53,2.13,0.00
07/10/2025 05:00,LONGIL,61762,45.09,3.78,-1.90
07/10/2025 05:00,MHK VL,61756,40.90,1.50,0.00
07/10/2025 05:00,MILLWD,61759,41.76,2.36,0.00
07/10/2025 05:00,N.Y.C.,61761,42.39,2.99,0.00
07/10/2025 05:00,NORTH,61755,39.48,0.08,0.00
07/10/2025 05:00,NPX,61845,40.86,1.46,0.00
07/10/2025 05:00,O H,61846,38.53,-0.87,0.00
07/10/2025 05:00,PJM,61847,40.15,0.75,0.00
07/10/2025 05:00,WEST,61752,39.24,-0.16,0.00
07/10/2025 06:00,CAPITL,61757,45.33,1.91,0.00
07/10/2025 06:00,CENTRL,61754,43.53,0.04,-0.06
07/10/2025 06:00,DUNWOD,61760,46.55,3.13,0.00
07/10/2025 06:00,GENESE,61753,42.86,-0.57,0.00
07/10/2025 06:00,H Q,61844,43.03,-0.39,0.00
07/10/2025 06:00,HUD VL,61758,45.94,2.52,0.00
07/10/2025 06:00,LONGIL,61762,47.77,4.34,-0.01
07/10/2025 06:00,MHK VL,61756,45.11,1.69,0.00
07/10/2025 06:00,MILLWD,61759,46.24,2.82,0.00
07/10/2025 06:00,N.Y.C.,61761,47.02,3.60,0.00
07/10/2025 06:00,NORTH,61755,43.47,0.04,0.00
07/10/2025 06:00,NPX,61845,45.16,1.74,0.00
07/10/2025 06:00,O H,61846,41.73,-1.69,0.00
07/10/2025 06:00,PJM,61847,44.07,0.65,0.00
07/10/2025 06:00,WEST,61752,42.38,-1.04,0.00
07/10/2025 07:00,CAPITL,61757,48.89,1.70,0.00
07/10/2025 07:00,CENTRL,61754,47.06,-0.23,-0.10
07/10/2025 07:00,DUNWOD,61760,50.17,2.98,0.00
07/10/2025 07:00,GENESE,61753,46.11,-1.08,0.00
07/10/2025 07:00,H Q,61844,47.10,-0.09,0.00
07/10/2025 07:00,HUD VL,61758,49.51,2.31,0.00
07/10/2025 07:00,LONGIL,61762,50.13,2.93,0.00
07/10/2025 07:00,MHK VL,61756,48.80,1.61,0.00
07/10/2025 07:00,MILLWD,61759,49.84,2.64,0.00
07/10/2025 07:00,N.Y.C.,61761,50.69,3.49,0.00
07/10/2025 07:00,NORTH,61755,47.62,0.42,0.00
07/10/2025 07:00,NPX,61845,48.61,1.41,0.00
07/10/2025 07:00,O H,61846,44.46,-2.74,0.00
07/10/2025 07:00,PJM,61847,47.34,0.14,0.00
07/10/2025 07:00,WEST,61752,45.31,-1.89,0.00
07/10/2025 08:00,CAPITL,61757,52.07,1.81,0.00
07/10/2025 08:00,CENTRL,61754,50.32,-0.05,-0.11
07/10/2025 08:00,DUNWOD,61760,53.23,2.97,0.00
07/10/2025 08:00,GENESE,61753,49.76,-0.50,0.00
07/10/2025 08:00,H Q,61844,50.12,-0.15,0.00
07/10/2025 08:00,HUD VL,61758,52.53,2.26,0.00
07/10/2025 08:00,LONGIL,61762,52.85,2.66,0.07
07/10/2025 08:00,MHK VL,61756,52.13,1.86,0.00
07/10/2025 08:00,MILLWD,61759,52.83,2.56,0.00
07/10/2025 08:00,N.Y.C.,61761,53.49,3.22,0.00
07/10/2025 08:00,NORTH,61755,50.57,0.30,0.00
07/10/2025 08:00,NPX,61845,51.62,1.36,0.00
07/10/2025 08:00,O H,61846,48.51,-1.76,0.00
07/10/2025 08:00,PJM,61847,50.72,0.45,0.00
07/10/2025 08:00,WEST,61752,49.36,-0.90,0.00
07/10/2025 09:00,CAPITL,61757,55.23,1.87,0.00
07/10/2025 09:00,CENTRL,61754,53.26,-0.11,0.00
07/10/2025 09:00,DUNWOD,61760,56.68,3.31,0.00
07/10/2025 09:00,GENESE,61753,52.57,-0.80,0.00
07/10/2025 09:00,H Q,61844,53.16,-0.21,0.00
07/10/2025 09:00,HUD VL,61758,55.93,2.56,0.00
07/10/2025 09:00,LONGIL,61762,56.15,3.09,0.31
07/10/2025 09:00,MHK VL,61756,55.29,1.92,0.00
07/10/2025 09:00,MILLWD,61759,56.30,2.93,0.00
07/10/2025 09:00,N.Y.C.,61761,57.00,3.63,0.00
07/10/2025 09:00,NORTH,61755,53.47,0.11,0.00
07/10/2025 09:00,NPX,61845,54.92,1.55,0.00
07/10/2025 09:00,O H,61846,50.97,-2.40,0.00
07/10/2025 09:00,PJM,61847,53.69,0.32,0.00
07/10/2025 09:00,WEST,61752,51.87,-1.49,0.00
07/10/2025 10:00,CAPITL,61757,56.16,1.69,0.00
07/10/2025 10:00,CENTRL,61754,54.74,0.11,-0.16
07/10/2025 10:00,DUNWOD,61760,57.85,3.38,0.00
07/10/2025 10:00,GENESE,61753,54.20,-0.27,0.00
07/10/2025 10:00,H Q,61844,54.20,-0.27,0.00
07/10/2025 10:00,HUD VL,61758,57.03,2.56,0.00
07/10/2025 10:00,LONGIL,61762,58.23,3.76,0.00
07/10/2025 10:00,MHK VL,61756,56.54,2.07,0.00
07/10/2025 10:00,MILLWD,61759,57.41,2.94,0.00
07/10/2025 10:00,N.Y.C.,61761,57.96,3.65,0.16
07/10/2025 10:00,NORTH,61755,54.42,-0.05,0.00
07/10/2025 10:00,NPX,61845,55.94,1.47,0.00
07/10/2025 10:00,O H,61846,52.68,-1.80,0.00
07/10/2025 10:00,PJM,61847,54.72,0.54,0.29
07/10/2025 10:00,WEST,61752,53.66,-0.82,0.00
07/10/2025 11:00,CAPITL,61757,56.60,1.60,0.14
07/10/2025 11:00,CENTRL,61754,55.66,0.28,-0.24
07/10/2025 11:00,DUNWOD,61760,58.67,3.36,-0.17
07/10/2025 11:00,GENESE,61753,55.25,0.11,0.00
07/10/2025 11:00,H Q,61844,54.86,-0.27,0.00
07/10/2025 11:00,HUD VL,61758,57.85,2.59,-0.12
07/10/2025 11:00,LONGIL,61762,67.80,4.02,-8.64
07/10/2025 11:00,MHK VL,61756,57.28,2.15,0.00
07/10/2025 11:00,MILLWD,61759,58.33,3.03,-0.17
07/10/2025 11:00,N.Y.C.,61761,58.66,3.58,0.06
07/10/2025 11:00,NORTH,61755,54.92,-0.22,0.00
07/10/2025 11:00,NPX,61845,55.27,1.27,1.13
07/10/2025 11:00,O H,61846,53.70,-1.43,0.00
07/10/2025 11:00,PJM,61847,55.52,0.71,0.33
07/10/2025 11:00,WEST,61752,54.69,-0.44,0.00
07/10/2025 12:00,CAPITL,61757,58.72,1.55,0.30
07/10/2025 12:00,CENTRL,61754,58.22,0.57,-0.18
07/10/2025 12:00,DUNWOD,61760,61.29,3.45,-0.38
07/10/2025 12:00,GENESE,61753,58.04,0.57,0.00
07/10/2025 12:00,H Q,61844,57.12,-0.34,0.00
07/10/2025 12:00,HUD VL,61758,60.38,2.64,-0.27
07/10/2025 12:00,LONGIL,61762,62.37,4.14,-0.76
07/10/2025 12:00,MHK VL,61756,59.59,2.13,0.00
07/10/2025 12:00,MILLWD,61759,60.88,3.04,-0.37
07/10/2025 12:00,N.Y.C.,61761,61.01,3.45,-0.10
07/10/2025 12:00,NORTH,61755,57.24,-0.23,0.00
07/10/2025 12:00,NPX,61845,56.20,1.21,2.47
07/10/2025 12:00,O H,61846,56.49,-0.98,0.00
07/10/2025 12:00,PJM,61847,58.07,0.92,0.31
07/10/2025 12:00,WEST,61752,57.58,0.12,0.00
07/10/2025 13:00,CAPITL,61757,60.41,1.50,1.05
07/10/2025 13:00,CENTRL,61754,60.84,0.60,-0.28
