Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
12/27/2025 00:00,CAPITL,61757,85.08,3.74,0.00
12/27/2025 00:00,CENTRL,61754,79.06,-2.28,0.00
12/27/2025 00:00,DUNWOD,61760,84.67,3.34,0.00
12/27/2025 00:00,GENESE,61753,75.48,-5.86,0.00
12/27/2025 00:00,H Q,61844,82.15,0.81,0.00
12/27/2025 00:00,HUD VL,61758,84.43,3.09,0.00
12/27/2025 00:00,LONGIL,61762,87.21,5.86,-0.02
12/27/2025 00:00,MHK VL,61756,83.45,2.11,0.00
12/27/2025 00:00,MILLWD,61759,84.67,3.34,0.00
12/27/2025 00:00,N.Y.C.,61761,85.00,3.66,0.00
12/27/2025 00:00,NORTH,61755,83.45,2.11,0.00
12/27/2025 00:00,NPX,61845,131.95,3.42,-47.20
12/27/2025 00:00,O H,61846,71.74,-9.60,0.00
12/27/2025 00:00,PJM,61847,46.51,-2.36,32.47
12/27/2025 00:00,WEST,61752,73.86,-7.48,0.00
12/27/2025 01:00,CAPITL,61757,73.18,3.15,0.00
12/27/2025 01:00,CENTRL,61754,68.21,-1.82,0.00
12/27/2025 01:00,DUNWOD,61760,72.69,2.66,0.00
12/27/2025 01:00,GENESE,61753,65.13,-4.90,0.00
12/27/2025 01:00,H Q,61844,70.80,0.77,0.00
12/27/2025 01:00,HUD VL,61758,72.55,2.52,0.00
12/27/2025 01:00,LONGIL,61762,74.81,4.76,-0.02
12/27/2025 01:00,MHK VL,61756,71.92,1.89,0.00
12/27/2025 01:00,MILLWD,61759,72.69,2.66,0.00
12/27/2025 01:00,N.Y.C.,61761,72.55,2.52,0.00
12/27/2025 01:00,NORTH,61755,72.06,2.03,0.00
12/27/2025 01:00,NPX,61845,127.90,2.80,-55.07
12/27/2025 01:00,O H,61846,61.98,-8.05,0.00
12/27/2025 01:00,PJM,61847,45.68,-2.10,22.25
12/27/2025 01:00,WEST,61752,63.73,-6.30,0.00
12/27/2025 02:00,CAPITL,61757,71.27,2.87,0.00
12/27/2025 02:00,CENTRL,61754,66.69,-1.71,0.00
12/27/2025 02:00,DUNWOD,61760,70.72,2.33,0.00
12/27/2025 02:00,GENESE,61753,63.81,-4.58,0.00
12/27/2025 02:00,H Q,61844,69.28,0.89,0.00
12/27/2025 02:00,HUD VL,61758,70.65,2.25,0.00
12/27/2025 02:00,LONGIL,61762,72.78,4.38,-0.01
12/27/2025 02:00,MHK VL,61756,70.24,1.85,0.00
12/27/2025 02:00,MILLWD,61759,70.72,2.33,0.00
12/27/2025 02:00,N.Y.C.,61761,70.52,2.12,0.00
12/27/2025 02:00,NORTH,61755,70.58,2.19,0.00
12/27/2025 02:00,NPX,61845,120.30,2.60,-49.31
12/27/2025 02:00,O H,61846,60.94,-7.45,0.00
12/27/2025 02:00,PJM,61847,42.44,-2.05,23.90
12/27/2025 02:00,WEST,61752,62.58,-5.81,0.00
12/27/2025 03:00,CAPITL,61757,68.71,2.77,0.00
12/27/2025 03:00,CENTRL,61754,64.23,-1.71,0.00
12/27/2025 03:00,DUNWOD,61760,68.05,2.11,0.00
12/27/2025 03:00,GENESE,61753,61.39,-4.55,0.00
12/27/2025 03:00,H Q,61844,66.87,0.92,0.00
12/27/2025 03:00,HUD VL,61758,68.05,2.11,0.00
12/27/2025 03:00,LONGIL,61762,70.11,4.16,-0.01
12/27/2025 03:00,MHK VL,61756,67.73,1.78,0.00
12/27/2025 03:00,MILLWD,61759,68.12,2.17,0.00
12/27/2025 03:00,N.Y.C.,61761,67.99,2.05,0.00
12/27/2025 03:00,NORTH,61755,68.31,2.37,0.00
12/27/2025 03:00,NPX,61845,119.28,2.44,-50.89
12/27/2025 03:00,O H,61846,58.56,-7.38,0.00
12/27/2025 03:00,PJM,61847,40.40,-2.04,23.50
12/27/2025 03:00,WEST,61752,60.21,-5.74,0.00
12/27/2025 04:00,CAPITL,61757,69.53,2.93,0.00
12/27/2025 04:00,CENTRL,61754,64.81,-1.80,0.00
12/27/2025 04:00,DUNWOD,61760,68.80,2.19,0.00
12/27/2025 04:00,GENESE,61753,61.87,-4.73,0.00
12/27/2025 04:00,H Q,61844,67.53,0.93,0.00
12/27/2025 04:00,HUD VL,61758,68.73,2.13,0.00
12/27/2025 04:00,LONGIL,61762,70.81,4.20,-0.01
12/27/2025 04:00,MHK VL,61756,68.33,1.73,0.00
12/27/2025 04:00,MILLWD,61759,68.80,2.19,0.00
12/27/2025 04:00,N.Y.C.,61761,68.53,1.93,0.00
12/27/2025 04:00,NORTH,61755,69.00,2.39,0.00
12/27/2025 04:00,NPX,61845,120.00,2.47,-50.93
12/27/2025 04:00,O H,61846,58.88,-7.72,0.00
12/27/2025 04:00,PJM,61847,40.96,-2.20,23.44
12/27/2025 04:00,WEST,61752,60.61,-5.99,0.00
12/27/2025 05:00,CAPITL,61757,72.27,3.18,0.00
12/27/2025 05:00,CENTRL,61754,67.23,-1.86,0.00
12/27/2025 05:00,DUNWOD,61760,71.44,2.35,0.00
12/27/2025 05:00,GENESE,61753,64.12,-4.98,0.00
12/27/2025 05:00,H Q,61844,69.99,0.90,0.00
12/27/2025 05:00,HUD VL,61758,71.37,2.28,0.00
12/27/2025 05:00,LONGIL,61762,73.53,4.43,-0.01
12/27/2025 05:00,MHK VL,61756,70.89,1.79,0.00
12/27/2025 05:00,MILLWD,61759,71.44,2.35,0.00
12/27/2025 05:00,N.Y.C.,61761,71.02,1.93,0.00
12/27/2025 05:00,NORTH,61755,71.30,2.21,0.00
12/27/2025 05:00,NPX,61845,128.00,2.69,-56.21
12/27/2025 05:00,O H,61846,60.94,-8.15,0.00
12/27/2025 05:00,PJM,61847,43.92,-2.28,22.90
12/27/2025 05:00,WEST,61752,62.67,-6.42,0.00
12/27/2025 06:00,CAPITL,61757,74.61,3.28,0.00
12/27/2025 06:00,CENTRL,61754,69.33,-2.00,0.00
12/27/2025 06:00,DUNWOD,61760,74.10,2.78,0.00
12/27/2025 06:00,GENESE,61753,65.83,-5.49,0.00
12/27/2025 06:00,H Q,61844,72.11,0.79,0.00
12/27/2025 06:00,HUD VL,61758,73.96,2.64,0.00
12/27/2025 06:00,LONGIL,61762,76.32,4.99,-0.01
12/27/2025 06:00,MHK VL,61756,73.25,1.93,0.00
12/27/2025 06:00,MILLWD,61759,74.03,2.71,0.00
12/27/2025 06:00,N.Y.C.,61761,73.75,2.43,0.00
12/27/2025 06:00,NORTH,61755,73.32,1.99,0.00
12/27/2025 06:00,NPX,61845,116.64,2.93,-42.39
12/27/2025 06:00,O H,61846,62.12,-9.20,0.00
12/27/2025 06:00,PJM,61847,50.80,-2.43,18.10
12/27/2025 06:00,WEST,61752,63.90,-7.42,0.00
12/27/2025 07:00,CAPITL,61757,73.63,2.90,0.00
12/27/2025 07:00,CENTRL,61754,69.31,-1.41,0.00
12/27/2025 07:00,DUNWOD,61760,73.56,2.83,0.00
12/27/2025 07:00,GENESE,61753,65.57,-5.16,0.00
12/27/2025 07:00,H Q,61844,71.50,0.78,0.00
12/27/2025 07:00,HUD VL,61758,73.41,2.69,0.00
12/27/2025 07:00,LONGIL,61762,75.61,4.88,-0.01
12/27/2025 07:00,MHK VL,61756,72.92,2.19,0.00
12/27/2025 07:00,MILLWD,61759,73.48,2.76,0.00
12/27/2025 07:00,N.Y.C.,61761,73.27,2.54,0.00
12/27/2025 07:00,NORTH,61755,72.64,1.91,0.00
12/27/2025 07:00,NPX,61845,121.60,2.69,-48.19
