Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
08/16/2025 00:00,CAPITL,61757,43.63,0.90,0.06
08/16/2025 00:00,CENTRL,61754,43.05,0.26,0.00
08/16/2025 00:00,DUNWOD,61760,44.41,1.54,-0.08
08/16/2025 00:00,GENESE,61753,43.01,0.22,0.00
08/16/2025 00:00,H Q,61844,42.93,0.34,0.20
08/16/2025 00:00,HUD VL,61758,44.00,1.16,-0.05
08/16/2025 00:00,LONGIL,61762,45.43,2.57,-0.08
08/16/2025 00:00,MHK VL,61756,44.33,1.54,0.00
08/16/2025 00:00,MILLWD,61759,44.19,1.33,-0.08
08/16/2025 00:00,N.Y.C.,61761,44.75,1.88,-0.08
08/16/2025 00:00,NORTH,61755,43.90,1.11,0.00
08/16/2025 00:00,NPX,61845,42.47,0.38,0.70
08/16/2025 00:00,O H,61846,42.08,-0.51,0.20
08/16/2025 00:00,PJM,61847,42.80,0.17,0.16
08/16/2025 00:00,WEST,61752,43.17,0.38,0.00
08/16/2025 01:00,CAPITL,61757,40.03,0.82,0.00
08/16/2025 01:00,CENTRL,61754,39.68,0.47,0.00
08/16/2025 01:00,DUNWOD,61760,40.42,1.22,0.00
08/16/2025 01:00,GENESE,61753,39.95,0.74,0.00
08/16/2025 01:00,H Q,61844,39.68,0.28,-0.20
08/16/2025 01:00,HUD VL,61758,40.11,0.90,0.00
08/16/2025 01:00,LONGIL,61762,41.40,2.19,0.00
08/16/2025 01:00,MHK VL,61756,40.58,1.37,0.00
08/16/2025 01:00,MILLWD,61759,40.22,1.02,0.00
08/16/2025 01:00,N.Y.C.,61761,40.66,1.45,0.00
08/16/2025 01:00,NORTH,61755,40.14,0.94,0.00
08/16/2025 01:00,NPX,61845,39.72,0.31,-0.20
08/16/2025 01:00,O H,61846,40.00,0.59,-0.20
08/16/2025 01:00,PJM,61847,39.84,0.43,-0.20
08/16/2025 01:00,WEST,61752,40.46,1.25,0.00
08/16/2025 02:00,CAPITL,61757,37.09,0.76,0.00
08/16/2025 02:00,CENTRL,61754,36.47,0.15,0.00
08/16/2025 02:00,DUNWOD,61760,37.49,1.16,0.00
08/16/2025 02:00,GENESE,61753,36.55,0.22,0.00
08/16/2025 02:00,H Q,61844,36.58,0.26,0.00
08/16/2025 02:00,HUD VL,61758,37.23,0.91,0.00
08/16/2025 02:00,LONGIL,61762,38.11,1.78,0.00
08/16/2025 02:00,MHK VL,61756,37.52,1.20,0.00
08/16/2025 02:00,MILLWD,61759,37.31,0.98,0.00
08/16/2025 02:00,N.Y.C.,61761,37.71,1.38,0.00
08/16/2025 02:00,NORTH,61755,37.20,0.87,0.00
08/16/2025 02:00,NPX,61845,36.76,0.44,0.00
08/16/2025 02:00,O H,61846,36.07,-0.25,0.00
08/16/2025 02:00,PJM,61847,36.47,0.15,0.00
08/16/2025 02:00,WEST,61752,36.76,0.44,0.00
08/16/2025 03:00,CAPITL,61757,33.93,0.83,0.00
08/16/2025 03:00,CENTRL,61754,33.11,0.00,0.00
08/16/2025 03:00,DUNWOD,61760,34.20,1.09,0.00
08/16/2025 03:00,GENESE,61753,32.88,-0.23,0.00
08/16/2025 03:00,H Q,61844,33.34,0.23,0.00
08/16/2025 03:00,HUD VL,61758,34.00,0.89,0.00
08/16/2025 03:00,LONGIL,61762,34.56,1.46,0.00
08/16/2025 03:00,MHK VL,61756,34.20,1.09,0.00
08/16/2025 03:00,MILLWD,61759,34.03,0.93,0.00
08/16/2025 03:00,N.Y.C.,61761,34.40,1.29,0.00
08/16/2025 03:00,NORTH,61755,33.93,0.83,0.00
08/16/2025 03:00,NPX,61845,33.60,0.50,0.00
08/16/2025 03:00,O H,61846,32.38,-0.73,0.00
08/16/2025 03:00,PJM,61847,33.11,0.00,0.00
08/16/2025 03:00,WEST,61752,32.97,-0.13,0.00
08/16/2025 04:00,CAPITL,61757,33.07,0.84,0.00
08/16/2025 04:00,CENTRL,61754,32.17,-0.06,0.00
08/16/2025 04:00,DUNWOD,61760,33.43,1.19,0.00
08/16/2025 04:00,GENESE,61753,31.85,-0.39,0.00
08/16/2025 04:00,H Q,61844,32.46,0.23,0.00
08/16/2025 04:00,HUD VL,61758,33.20,0.97,0.00
08/16/2025 04:00,LONGIL,61762,34.10,1.87,0.00
08/16/2025 04:00,MHK VL,61756,33.33,1.10,0.00
08/16/2025 04:00,MILLWD,61759,33.26,1.03,0.00
08/16/2025 04:00,N.Y.C.,61761,33.59,1.35,0.00
08/16/2025 04:00,NORTH,61755,33.04,0.81,0.00
08/16/2025 04:00,NPX,61845,32.81,0.58,0.00
08/16/2025 04:00,O H,61846,31.30,-0.94,0.00
08/16/2025 04:00,PJM,61847,32.20,-0.03,0.00
08/16/2025 04:00,WEST,61752,31.85,-0.39,0.00
08/16/2025 05:00,CAPITL,61757,34.46,0.87,0.00
08/16/2025 05:00,CENTRL,61754,33.45,-0.13,0.00
08/16/2025 05:00,DUNWOD,61760,34.79,1.21,0.00
08/16/2025 05:00,GENESE,61753,33.12,-0.47,0.00
08/16/2025 05:00,H Q,61844,33.85,0.27,0.00
08/16/2025 05:00,HUD VL,61758,34.56,0.97,0.00
08/16/2025 05:00,LONGIL,61762,35.60,2.01,0.00
08/16/2025 05:00,MHK VL,61756,34.69,1.11,0.00
08/16/2025 05:00,MILLWD,61759,34.66,1.07,0.00
08/16/2025 05:00,N.Y.C.,61761,35.00,1.41,0.00
08/16/2025 05:00,NORTH,61755,34.46,0.87,0.00
08/16/2025 05:00,NPX,61845,34.16,0.57,0.00
08/16/2025 05:00,O H,61846,32.34,-1.24,0.00
08/16/2025 05:00,PJM,61847,33.42,-0.17,0.00
08/16/2025 05:00,WEST,61752,32.95,-0.64,0.00
08/16/2025 06:00,CAPITL,61757,35.15,0.82,0.00
08/16/2025 06:00,CENTRL,61754,34.22,-0.10,0.00
08/16/2025 06:00,DUNWOD,61760,35.74,1.41,0.00
08/16/2025 06:00,GENESE,61753,33.85,-0.48,0.00
08/16/2025 06:00,H Q,61844,33.80,0.31,0.84
08/16/2025 06:00,HUD VL,61758,35.43,1.10,0.00
08/16/2025 06:00,LONGIL,61762,36.15,1.82,0.00
08/16/2025 06:00,MHK VL,61756,35.46,1.13,0.00
08/16/2025 06:00,MILLWD,61759,35.56,1.23,0.00
08/16/2025 06:00,N.Y.C.,61761,36.01,1.68,0.00
08/16/2025 06:00,NORTH,61755,35.29,0.96,0.00
08/16/2025 06:00,NPX,61845,34.11,0.62,0.84
08/16/2025 06:00,O H,61846,32.32,-1.17,0.84
08/16/2025 06:00,PJM,61847,33.42,-0.07,0.84
08/16/2025 06:00,WEST,61752,33.78,-0.55,0.00
08/16/2025 07:00,CAPITL,61757,34.20,0.74,0.00
