Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
09/18/2025 00:00,CAPITL,61757,33.38,0.91,0.18
09/18/2025 00:00,CENTRL,61754,34.90,0.55,-1.70
09/18/2025 00:00,DUNWOD,61760,34.51,1.63,-0.23
09/18/2025 00:00,GENESE,61753,33.68,0.46,-0.58
09/18/2025 00:00,H Q,61844,30.00,-0.26,2.39
09/18/2025 00:00,HUD VL,61758,34.30,1.50,-0.15
09/18/2025 00:00,LONGIL,61762,34.80,1.93,-0.23
09/18/2025 00:00,MHK VL,61756,40.35,1.01,-6.69
09/18/2025 00:00,MILLWD,61759,34.40,1.53,-0.22
09/18/2025 00:00,N.Y.C.,61761,34.74,1.86,-0.23
09/18/2025 00:00,NORTH,61755,62.08,0.33,-29.11
09/18/2025 00:00,NPX,61845,31.52,0.69,1.81
09/18/2025 00:00,O H,61846,33.69,0.49,-0.56
09/18/2025 00:00,PJM,61847,33.91,0.82,-0.45
09/18/2025 00:00,WEST,61752,34.20,0.98,-0.57
09/18/2025 01:00,CAPITL,61757,31.51,0.77,0.10
09/18/2025 01:00,CENTRL,61754,32.94,0.52,-1.57
09/18/2025 01:00,DUNWOD,61760,32.42,1.45,-0.13
09/18/2025 01:00,GENESE,61753,31.88,0.58,-0.46
09/18/2025 01:00,H Q,61844,28.14,-0.25,2.45
09/18/2025 01:00,HUD VL,61758,32.28,1.36,-0.08
09/18/2025 01:00,LONGIL,61762,32.45,1.48,-0.13
09/18/2025 01:00,MHK VL,61756,38.65,1.02,-6.79
09/18/2025 01:00,MILLWD,61759,32.32,1.36,-0.12
09/18/2025 01:00,N.Y.C.,61761,32.57,1.60,-0.13
09/18/2025 01:00,NORTH,61755,60.98,0.22,-29.92
09/18/2025 01:00,NPX,61845,30.42,0.58,1.01
09/18/2025 01:00,O H,61846,31.90,0.62,-0.44
09/18/2025 01:00,PJM,61847,31.88,0.71,-0.33
09/18/2025 01:00,WEST,61752,32.38,1.08,-0.45
09/18/2025 02:00,CAPITL,61757,29.82,0.75,0.00
