Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
06/06/2025 00:00,CAPITL,61757,37.12,1.50,0.00
06/06/2025 00:00,CENTRL,61754,35.70,0.07,0.00
06/06/2025 00:00,DUNWOD,61760,38.26,2.64,0.00
06/06/2025 00:00,GENESE,61753,34.84,-0.78,0.00
06/06/2025 00:00,H Q,61844,35.45,-0.18,0.00
06/06/2025 00:00,HUD VL,61758,37.91,2.28,0.00
06/06/2025 00:00,LONGIL,61762,38.98,3.31,-0.04
06/06/2025 00:00,MHK VL,61756,36.80,1.17,0.00
06/06/2025 00:00,MILLWD,61759,38.08,2.46,0.00
06/06/2025 00:00,N.Y.C.,61761,38.63,2.99,0.00
06/06/2025 00:00,NORTH,61755,35.84,0.22,0.00
06/06/2025 00:00,NPX,61845,38.16,2.53,0.00
06/06/2025 00:00,O H,61846,33.81,-1.82,0.00
06/06/2025 00:00,PJM,61847,36.09,0.46,0.00
06/06/2025 00:00,WEST,61752,34.42,-1.21,0.00
06/06/2025 01:00,CAPITL,61757,34.10,1.52,-3.42
06/06/2025 01:00,CENTRL,61754,29.39,0.23,0.00
06/06/2025 01:00,DUNWOD,61760,31.92,2.39,-0.37
06/06/2025 01:00,GENESE,61753,28.64,-0.52,0.00
06/06/2025 01:00,H Q,61844,28.84,-0.32,0.00
06/06/2025 01:00,HUD VL,61758,31.67,2.07,-0.44
06/06/2025 01:00,LONGIL,61762,32.46,2.92,-0.38
06/06/2025 01:00,MHK VL,61756,30.21,1.05,0.00
06/06/2025 01:00,MILLWD,61759,31.81,2.28,-0.37
06/06/2025 01:00,N.Y.C.,61761,32.19,2.65,-0.37
06/06/2025 01:00,NORTH,61755,29.10,-0.06,0.00
06/06/2025 01:00,NPX,61845,33.82,2.39,-2.27
06/06/2025 01:00,O H,61846,27.85,-1.31,0.00
06/06/2025 01:00,PJM,61847,29.95,0.61,-0.17
06/06/2025 01:00,WEST,61752,28.29,-0.87,0.00
06/06/2025 02:00,CAPITL,61757,27.33,1.33,0.00
06/06/2025 02:00,CENTRL,61754,26.31,0.31,0.00
06/06/2025 02:00,DUNWOD,61760,28.00,2.00,0.00
06/06/2025 02:00,GENESE,61753,25.72,-0.29,0.00
06/06/2025 02:00,H Q,61844,25.72,-0.29,0.00
06/06/2025 02:00,HUD VL,61758,27.77,1.77,0.00
06/06/2025 02:00,LONGIL,61762,28.47,2.47,0.00
06/06/2025 02:00,MHK VL,61756,26.96,0.96,0.00
06/06/2025 02:00,MILLWD,61759,27.87,1.87,0.00
06/06/2025 02:00,N.Y.C.,61761,28.21,2.21,0.00
06/06/2025 02:00,NORTH,61755,25.95,-0.05,0.00
06/06/2025 02:00,NPX,61845,31.08,2.08,-3.00
06/06/2025 02:00,O H,61846,25.09,-0.91,0.00
06/06/2025 02:00,PJM,61847,26.60,0.60,0.00
06/06/2025 02:00,WEST,61752,25.51,-0.49,0.00
06/06/2025 03:00,CAPITL,61757,25.32,1.27,0.00
06/06/2025 03:00,CENTRL,61754,24.22,0.17,0.00
06/06/2025 03:00,DUNWOD,61760,26.07,2.02,0.00
06/06/2025 03:00,GENESE,61753,23.49,-0.55,0.00
06/06/2025 03:00,H Q,61844,23.76,-0.29,0.00
06/06/2025 03:00,HUD VL,61758,25.80,1.75,0.00
06/06/2025 03:00,LONGIL,61762,26.56,2.50,-0.01
06/06/2025 03:00,MHK VL,61756,24.86,0.82,0.00
06/06/2025 03:00,MILLWD,61759,25.97,1.92,0.00
06/06/2025 03:00,N.Y.C.,61761,26.29,2.24,0.00
06/06/2025 03:00,NORTH,61755,23.95,-0.10,0.00
06/06/2025 03:00,NPX,61845,30.04,2.04,-3.95
06/06/2025 03:00,O H,61846,22.99,-1.06,0.00
06/06/2025 03:00,PJM,61847,24.60,0.55,0.00
06/06/2025 03:00,WEST,61752,23.35,-0.70,0.00
06/06/2025 04:00,CAPITL,61757,25.39,1.25,0.00
