Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
01/10/2025 00:00,CAPITL,61757,132.96,4.05,-62.46
01/10/2025 00:00,CENTRL,61754,74.33,-0.60,-8.48
01/10/2025 00:00,DUNWOD,61760,118.33,5.38,-46.50
01/10/2025 00:00,GENESE,61753,69.38,-3.46,-6.39
01/10/2025 00:00,H Q,61844,65.38,-1.07,0.00
01/10/2025 00:00,HUD VL,61758,117.48,5.12,-45.92
01/10/2025 00:00,LONGIL,61762,147.56,7.31,-73.81
01/10/2025 00:00,MHK VL,61756,80.04,2.52,-11.07
01/10/2025 00:00,MILLWD,61759,118.37,5.19,-46.73
01/10/2025 00:00,N.Y.C.,61761,118.73,5.91,-46.38
01/10/2025 00:00,NORTH,61755,65.45,-0.99,0.00
01/10/2025 00:00,NPX,61845,125.56,4.32,-54.80
01/10/2025 00:00,O H,61846,68.26,-5.78,-7.60
01/10/2025 00:00,PJM,61847,59.34,0.13,7.24
01/10/2025 00:00,WEST,61752,69.81,-4.85,-8.21
01/10/2025 01:00,CAPITL,61757,124.13,3.98,-53.77
01/10/2025 01:00,CENTRL,61754,72.88,-0.79,-7.30
01/10/2025 01:00,DUNWOD,61760,111.72,5.31,-40.03
01/10/2025 01:00,GENESE,61753,68.23,-3.65,-5.50
01/10/2025 01:00,H Q,61844,65.38,-0.99,0.00
01/10/2025 01:00,HUD VL,61758,110.95,5.04,-39.53
01/10/2025 01:00,LONGIL,61762,113.67,7.24,-40.06
01/10/2025 01:00,MHK VL,61756,78.36,2.46,-9.53
01/10/2025 01:00,MILLWD,61759,111.72,5.11,-40.23
01/10/2025 01:00,N.Y.C.,61761,112.00,5.58,-40.05
01/10/2025 01:00,NORTH,61755,65.51,-0.86,0.00
01/10/2025 01:00,NPX,61845,117.80,4.25,-47.17
01/10/2025 01:00,O H,61846,66.94,-5.97,-6.54
01/10/2025 01:00,PJM,61847,57.28,0.00,9.09
01/10/2025 01:00,WEST,61752,68.34,-5.11,-7.07
01/10/2025 02:00,CAPITL,61757,113.55,3.99,-43.11
01/10/2025 02:00,CENTRL,61754,71.64,-0.66,-5.85
01/10/2025 02:00,DUNWOD,61760,103.92,5.38,-32.10
01/10/2025 02:00,GENESE,61753,67.47,-3.39,-4.41
01/10/2025 02:00,H Q,61844,65.38,-1.07,0.00
01/10/2025 02:00,HUD VL,61758,103.26,5.12,-31.70
01/10/2025 02:00,LONGIL,61762,105.88,7.31,-32.13
01/10/2025 02:00,MHK VL,61756,76.55,2.46,-7.64
01/10/2025 02:00,MILLWD,61759,103.89,5.19,-32.26
01/10/2025 02:00,N.Y.C.,61761,104.28,5.72,-32.12
01/10/2025 02:00,NORTH,61755,65.38,-1.07,0.00
01/10/2025 02:00,NPX,61845,108.59,4.32,-37.83
01/10/2025 02:00,O H,61846,66.04,-5.65,-5.24
01/10/2025 02:00,PJM,61847,56.52,0.13,10.06
01/10/2025 02:00,WEST,61752,67.33,-4.78,-5.67
01/10/2025 03:00,CAPITL,61757,109.78,4.04,-38.46
01/10/2025 03:00,CENTRL,61754,71.90,-0.61,-5.22
01/10/2025 03:00,DUNWOD,61760,101.36,5.45,-28.63
01/10/2025 03:00,GENESE,61753,68.19,-3.03,-3.94
01/10/2025 03:00,H Q,61844,66.14,-1.14,0.00
01/10/2025 03:00,HUD VL,61758,100.74,5.18,-28.27
01/10/2025 03:00,LONGIL,61762,103.27,7.34,-28.65
01/10/2025 03:00,MHK VL,61756,76.59,2.49,-6.82
01/10/2025 03:00,MILLWD,61759,101.31,5.25,-28.77
01/10/2025 03:00,N.Y.C.,61761,101.72,5.79,-28.65
01/10/2025 03:00,NORTH,61755,66.21,-1.08,0.00
01/10/2025 03:00,NPX,61845,105.46,4.44,-33.74
01/10/2025 03:00,O H,61846,66.31,-5.65,-4.68
01/10/2025 03:00,PJM,61847,56.96,0.20,10.53
01/10/2025 03:00,WEST,61752,67.57,-4.78,-5.06
01/10/2025 04:00,CAPITL,61757,111.67,4.53,-32.91
01/10/2025 04:00,CENTRL,61754,78.10,-0.60,-4.47
01/10/2025 04:00,DUNWOD,61760,104.60,5.86,-24.50
01/10/2025 04:00,GENESE,61753,74.26,-3.34,-3.37
01/10/2025 04:00,H Q,61844,72.97,-1.26,0.00
01/10/2025 04:00,HUD VL,61758,104.14,5.72,-24.19
01/10/2025 04:00,LONGIL,61762,106.85,8.09,-24.52
01/10/2025 04:00,MHK VL,61756,82.96,2.89,-5.83
01/10/2025 04:00,MILLWD,61759,104.65,5.79,-24.62
01/10/2025 04:00,N.Y.C.,61761,105.05,6.31,-24.52
01/10/2025 04:00,NORTH,61755,73.04,-1.19,0.00
01/10/2025 04:00,NPX,61845,107.93,4.82,-28.87
01/10/2025 04:00,O H,61846,71.70,-6.53,-4.00
01/10/2025 04:00,PJM,61847,58.63,0.07,15.67
01/10/2025 04:00,WEST,61752,73.07,-5.49,-4.33
01/10/2025 05:00,CAPITL,61757,154.59,4.86,-72.72
01/10/2025 05:00,CENTRL,61754,81.80,-0.23,-5.01
01/10/2025 05:00,DUNWOD,61760,109.60,6.16,-26.41
01/10/2025 05:00,GENESE,61753,77.59,-3.08,-3.65
01/10/2025 05:00,H Q,61844,77.74,-1.54,-2.26
01/10/2025 05:00,HUD VL,61758,110.24,5.93,-27.29
01/10/2025 05:00,LONGIL,61762,111.78,8.32,-26.43
01/10/2025 05:00,MHK VL,61756,89.05,3.39,-8.64
01/10/2025 05:00,MILLWD,61759,109.55,5.93,-26.60
01/10/2025 05:00,N.Y.C.,61761,109.99,6.54,-26.43
01/10/2025 05:00,NORTH,61755,75.25,-1.77,0.00
01/10/2025 05:00,NPX,61845,123.71,5.08,-41.61
01/10/2025 05:00,O H,61846,77.12,-6.55,-6.65
01/10/2025 05:00,PJM,61847,65.33,0.23,11.92
01/10/2025 05:00,WEST,61752,76.47,-5.31,-4.77
01/10/2025 06:00,CAPITL,61757,168.50,5.50,-78.32
01/10/2025 06:00,CENTRL,61754,93.11,0.08,-8.36
01/10/2025 06:00,DUNWOD,61760,137.25,7.28,-45.29
01/10/2025 06:00,GENESE,61753,87.95,-2.97,-6.24
01/10/2025 06:00,H Q,61844,80.38,-2.03,2.26
01/10/2025 06:00,HUD VL,61758,136.82,6.86,-45.29
01/10/2025 06:00,LONGIL,61762,147.96,9.57,-53.72
01/10/2025 06:00,MHK VL,61756,100.88,4.32,-11.89
01/10/2025 06:00,MILLWD,61759,137.33,7.11,-45.54
01/10/2025 06:00,N.Y.C.,61761,137.05,7.70,-44.67
01/10/2025 06:00,NORTH,61755,82.13,-2.54,0.00
01/10/2025 06:00,NPX,61845,145.07,5.42,-54.97
01/10/2025 06:00,O H,61846,82.40,-7.45,-5.18
01/10/2025 06:00,PJM,61847,86.01,0.43,-0.91
01/10/2025 06:00,WEST,61752,86.72,-6.01,-8.05
01/10/2025 07:00,CAPITL,61757,176.03,5.58,-84.61
01/10/2025 07:00,CENTRL,61754,97.65,0.34,-11.46
01/10/2025 07:00,DUNWOD,61760,157.28,8.50,-62.93
01/10/2025 07:00,GENESE,61753,91.76,-2.75,-8.66
01/10/2025 07:00,H Q,61844,80.38,-2.40,3.06
01/10/2025 07:00,HUD VL,61758,155.90,7.81,-62.24
01/10/2025 07:00,LONGIL,61762,178.34,10.82,-81.67
01/10/2025 07:00,MHK VL,61756,104.78,4.55,-14.39
01/10/2025 07:00,MILLWD,61759,157.43,8.32,-63.26
01/10/2025 07:00,N.Y.C.,61761,157.43,9.19,-62.39
01/10/2025 07:00,NORTH,61755,82.76,-3.09,0.00
01/10/2025 07:00,NPX,61845,165.76,5.75,-74.16
01/10/2025 07:00,O H,61846,88.83,-7.30,-10.28
01/10/2025 07:00,PJM,61847,102.60,0.95,-15.81
01/10/2025 07:00,WEST,61752,91.16,-5.75,-11.07
01/10/2025 08:00,CAPITL,61757,180.00,5.63,-87.64
01/10/2025 08:00,CENTRL,61754,94.01,0.17,-7.10
01/10/2025 08:00,DUNWOD,61760,133.62,9.02,-37.87
01/10/2025 08:00,GENESE,61753,88.93,-3.04,-5.24
01/10/2025 08:00,H Q,61844,80.38,-2.60,3.75
01/10/2025 08:00,HUD VL,61758,133.60,8.24,-38.63
01/10/2025 08:00,LONGIL,61762,156.64,11.36,-58.55
01/10/2025 08:00,MHK VL,61756,102.19,4.33,-11.13
01/10/2025 08:00,MILLWD,61759,133.52,8.67,-38.12
01/10/2025 08:00,N.Y.C.,61761,134.19,9.88,-37.58
01/10/2025 08:00,NORTH,61755,83.09,-3.64,0.00
01/10/2025 08:00,NPX,61845,145.72,6.25,-52.74
01/10/2025 08:00,O H,61846,85.28,-7.72,-6.27
01/10/2025 08:00,PJM,61847,81.80,1.12,6.05
01/10/2025 08:00,WEST,61752,87.27,-6.25,-6.79
01/10/2025 09:00,CAPITL,61757,125.00,5.06,-34.12
01/10/2025 09:00,CENTRL,61754,90.27,-0.17,-4.62
01/10/2025 09:00,DUNWOD,61760,120.12,8.93,-25.38
01/10/2025 09:00,GENESE,61753,85.71,-3.60,-3.49
01/10/2025 09:00,H Q,61844,80.38,-2.40,3.04
01/10/2025 09:00,HUD VL,61758,118.81,7.89,-25.10
01/10/2025 09:00,LONGIL,61762,139.13,10.99,-42.32
01/10/2025 09:00,MHK VL,61756,95.74,4.12,-5.80
01/10/2025 09:00,MILLWD,61759,119.83,8.50,-25.51
01/10/2025 09:00,N.Y.C.,61761,122.51,9.78,-26.91
01/10/2025 09:00,NORTH,61755,82.73,-3.09,0.00
01/10/2025 09:00,NPX,61845,121.91,6.18,-29.90
01/10/2025 09:00,O H,61846,81.81,-8.15,-4.15
01/10/2025 09:00,PJM,61847,69.07,0.95,17.70
01/10/2025 09:00,WEST,61752,83.59,-6.69,-4.46
01/10/2025 10:00,CAPITL,61757,101.18,5.20,-9.24
01/10/2025 10:00,CENTRL,61754,87.90,-0.09,-1.25
01/10/2025 10:00,DUNWOD,61760,102.54,8.94,-6.87
01/10/2025 10:00,GENESE,61753,84.12,-3.56,-0.95
01/10/2025 10:00,H Q,61844,80.38,-2.60,3.75
01/10/2025 10:00,HUD VL,61758,101.07,7.54,-6.80
