Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
04/05/2025 00:00,CAPITL,61757,41.06,1.24,0.00
04/05/2025 00:00,CENTRL,61754,40.02,0.20,0.00
04/05/2025 00:00,DUNWOD,61760,41.09,1.27,0.00
04/05/2025 00:00,GENESE,61753,39.34,-0.48,0.00
04/05/2025 00:00,H Q,61844,39.86,0.04,0.00
04/05/2025 00:00,HUD VL,61758,40.77,0.95,0.00
04/05/2025 00:00,LONGIL,61762,41.13,1.31,0.00
04/05/2025 00:00,MHK VL,61756,40.69,0.87,0.00
04/05/2025 00:00,MILLWD,61759,40.90,1.08,0.00
04/05/2025 00:00,N.Y.C.,61761,41.92,1.35,-0.75
04/05/2025 00:00,NORTH,61755,40.30,0.48,0.00
04/05/2025 00:00,NPX,61845,40.62,0.80,0.00
04/05/2025 00:00,O H,61846,38.71,-1.11,0.00
04/05/2025 00:00,PJM,61847,39.78,-0.04,0.00
04/05/2025 00:00,WEST,61752,39.42,-0.40,0.00
04/05/2025 01:00,CAPITL,61757,38.39,1.19,0.00
04/05/2025 01:00,CENTRL,61754,37.35,0.15,0.00
04/05/2025 01:00,DUNWOD,61760,38.50,1.30,0.00
04/05/2025 01:00,GENESE,61753,36.64,-0.56,0.00
04/05/2025 01:00,H Q,61844,37.23,0.04,0.00
04/05/2025 01:00,HUD VL,61758,38.16,0.97,0.00
04/05/2025 01:00,LONGIL,61762,38.57,1.38,0.00
04/05/2025 01:00,MHK VL,61756,38.01,0.82,0.00
04/05/2025 01:00,MILLWD,61759,38.31,1.11,0.00
04/05/2025 01:00,N.Y.C.,61761,38.53,1.34,0.00
04/05/2025 01:00,NORTH,61755,37.64,0.45,0.00
04/05/2025 01:00,NPX,61845,37.98,0.78,0.00
04/05/2025 01:00,O H,61846,36.04,-1.15,0.00
04/05/2025 01:00,PJM,61847,37.20,0.00,0.00
04/05/2025 01:00,WEST,61752,36.71,-0.48,0.00
04/05/2025 02:00,CAPITL,61757,36.86,1.25,0.00
04/05/2025 02:00,CENTRL,61754,35.61,0.00,0.00
04/05/2025 02:00,DUNWOD,61760,36.89,1.28,0.00
04/05/2025 02:00,GENESE,61753,34.75,-0.85,0.00
04/05/2025 02:00,H Q,61844,35.65,0.04,0.00
04/05/2025 02:00,HUD VL,61758,36.61,1.00,0.00
04/05/2025 02:00,LONGIL,61762,36.75,1.14,0.00
04/05/2025 02:00,MHK VL,61756,36.36,0.75,0.00
04/05/2025 02:00,MILLWD,61759,36.75,1.14,0.00
04/05/2025 02:00,N.Y.C.,61761,36.93,1.32,0.00
04/05/2025 02:00,NORTH,61755,35.97,0.36,0.00
04/05/2025 02:00,NPX,61845,36.50,0.89,0.00
04/05/2025 02:00,O H,61846,34.08,-1.53,0.00
04/05/2025 02:00,PJM,61847,35.47,-0.14,0.00
04/05/2025 02:00,WEST,61752,34.68,-0.93,0.00
04/05/2025 03:00,CAPITL,61757,36.35,1.30,0.00
04/05/2025 03:00,CENTRL,61754,34.98,-0.07,0.00
04/05/2025 03:00,DUNWOD,61760,36.38,1.33,0.00
04/05/2025 03:00,GENESE,61753,34.11,-0.94,0.00
04/05/2025 03:00,H Q,61844,35.05,0.00,0.00
04/05/2025 03:00,HUD VL,61758,36.10,1.05,0.00
04/05/2025 03:00,LONGIL,61762,36.28,1.23,0.00
04/05/2025 03:00,MHK VL,61756,35.75,0.70,0.00
04/05/2025 03:00,MILLWD,61759,36.24,1.19,0.00
04/05/2025 03:00,N.Y.C.,61761,36.42,1.37,0.00
04/05/2025 03:00,NORTH,61755,35.30,0.25,0.00
04/05/2025 03:00,NPX,61845,36.03,0.98,0.00
04/05/2025 03:00,O H,61846,33.40,-1.65,0.00
04/05/2025 03:00,PJM,61847,34.88,-0.17,0.00
04/05/2025 03:00,WEST,61752,33.93,-1.12,0.00
04/05/2025 04:00,CAPITL,61757,38.29,1.54,0.00
04/05/2025 04:00,CENTRL,61754,36.67,-0.07,0.00
